11/6/2014 2:36:52 AM AccTransDetailHistory Complete
11/6/2014 2:36:53 AM AccTransHistory Complete
11/6/2014 2:36:53 AM AccTransImport Complete
11/6/2014 2:36:53 AM Brands Complete
11/6/2014 2:36:54 AM CityCodes Complete
11/6/2014 2:36:54 AM CodeList Complete
11/6/2014 2:36:54 AM ExchRates Complete
11/6/2014 2:36:56 AM Inventory Complete
11/6/2014 2:36:56 AM Markets Complete
11/6/2014 2:38:40 AM MrkAddress Complete
11/6/2014 2:38:40 AM MrkContactPromotions Complete
11/6/2014 2:38:40 AM MrkContactReview Complete
11/6/2014 2:40:50 AM MrkContacts Complete
11/6/2014 2:40:51 AM MrkCustomers Complete
11/6/2014 2:40:51 AM MrkFeedback Complete
11/6/2014 2:40:51 AM MrkSegment Complete
11/6/2014 2:40:51 AM MrkFeedbackAnswer Complete
